"","Condition","List","GenderRating","Name","Prompt","Male","Female","Other","Likeable","Accomplished","Important","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"80","first","1C",6.82,"Emily Ward","album",0,1,0,3,3,3,"R_3Jl7i8ISwNUMqrm","female","25 - 34","White","4 year degree"
"81","first","1C",5.34,"Jackie Turner","animals",0,1,0,3,2,3,"R_3Jl7i8ISwNUMqrm","female","25 - 34","White","4 year degree"
"82","first","1C",1.28,"James Green","science",1,0,0,2,3,2,"R_3Jl7i8ISwNUMqrm","female","25 - 34","White","4 year degree"
"83","first","1C",4.39,"Jessie Brooks","sports",0,1,0,3,3,1,"R_3Jl7i8ISwNUMqrm","female","25 - 34","White","4 year degree"
"84","first","1C",3.87,"Reese King","politics",1,0,0,2,2,5,"R_3Jl7i8ISwNUMqrm","female","25 - 34","White","4 year degree"
"85","first","1A",2.12,"Chris Miller","science",1,0,0,4,2,3,"R_w5YdoSpQsRIrS5b","female","35 - 44","Asian","Professional degree"
"86","first","1A",5.59,"Jodie Parker","book",0,1,0,2,2,2,"R_w5YdoSpQsRIrS5b","female","35 - 44","Asian","Professional degree"
"87","first","1A",4.73,"Kerry Baker","album",1,0,0,2,2,2,"R_w5YdoSpQsRIrS5b","female","35 - 44","Asian","Professional degree"
"88","first","1A",6.73,"Mary Cooper","sports",0,1,0,2,1,1,"R_w5YdoSpQsRIrS5b","female","35 - 44","Asian","Professional degree"
"89","first","1A",1.21,"Matthew Smith","animals",1,0,0,2,3,3,"R_w5YdoSpQsRIrS5b","female","35 - 44","Asian","Professional degree"
"90","first","1A",3.61,"Stevie White","politics",1,0,0,2,3,3,"R_w5YdoSpQsRIrS5b","female","35 - 44","Asian","Professional degree"
"91","first","1A",4.22,"Taylor Wright","meals",1,0,0,1,2,2,"R_w5YdoSpQsRIrS5b","female","35 - 44","Asian","Professional degree"
"92","first","3A",2.12,"Chris Young","politics",1,0,0,2,3,1,"R_3qTJsHR4Q6fHA7x","female","18 - 24","White","4 year degree"
"93","first","3A",5.59,"Jodie Cooper","sports",0,1,0,2,1,3,"R_3qTJsHR4Q6fHA7x","female","18 - 24","White","4 year degree"
"94","first","3A",4.73,"Kerry Bell","animals",0,1,0,1,4,4,"R_3qTJsHR4Q6fHA7x","female","18 - 24","White","4 year degree"
"95","first","3A",6.73,"Mary Collins","album",0,1,0,4,3,3,"R_3qTJsHR4Q6fHA7x","female","18 - 24","White","4 year degree"
"96","first","3A",1.21,"Matthew Brown","science",1,0,0,4,1,2,"R_3qTJsHR4Q6fHA7x","female","18 - 24","White","4 year degree"
"97","first","3A",3.61,"Stevie Ward","meals",1,0,0,1,3,3,"R_3qTJsHR4Q6fHA7x","female","18 - 24","White","4 year degree"
"98","first","3A",4.22,"Taylor Miller","book",0,1,0,3,2,5,"R_3qTJsHR4Q6fHA7x","female","18 - 24","White","4 year degree"
"99","first","2B",5.22,"Blair Young","animals",0,1,0,2,3,2,"R_1KjWPUAK5DKfYsu","female","35 - 44","White","4 year degree"
"100","first","2B",1.24,"Brian Wright","science",1,0,0,3,1,2,"R_1KjWPUAK5DKfYsu","female","35 - 44","White","4 year degree"
"101","first","2B",5.86,"Elisha Bell","book",0,1,0,2,2,3,"R_1KjWPUAK5DKfYsu","female","35 - 44","White","4 year degree"
"102","first","2B",3.75,"Quinn Brooks","politics",1,0,0,2,2,3,"R_1KjWPUAK5DKfYsu","female","35 - 44","White","4 year degree"
"103","first","2B",6.78,"Rebecca King","album",0,1,0,1,2,4,"R_1KjWPUAK5DKfYsu","female","35 - 44","White","4 year degree"
"104","first","2B",4.34,"Riley Campbell","sports",1,0,0,3,2,4,"R_1KjWPUAK5DKfYsu","female","35 - 44","White","4 year degree"
"105","first","2B",2.41,"Tommie Hill","meals",0,1,0,1,2,1,"R_1KjWPUAK5DKfYsu","female","35 - 44","White","4 year degree"
"106","first","1C",6.24,"Ashley Cook","book",0,1,0,4,5,3,"R_2VQ23meapMS1F9r","male","35 - 44","White","4 year degree"
"107","first","1C",2.61,"Emerson Moore","meals",1,0,0,6,4,3,"R_2VQ23meapMS1F9r","male","35 - 44","White","4 year degree"
"108","first","1C",6.82,"Emily Ward","album",0,1,0,4,6,4,"R_2VQ23meapMS1F9r","male","35 - 44","White","4 year degree"
"109","first","1C",5.34,"Jackie Turner","animals",0,1,0,5,5,3,"R_2VQ23meapMS1F9r","male","35 - 44","White","4 year degree"
"110","first","1C",1.28,"James Green","science",1,0,0,4,5,5,"R_2VQ23meapMS1F9r","male","35 - 44","White","4 year degree"
"111","first","1C",4.39,"Jessie Brooks","sports",1,0,0,4,6,3,"R_2VQ23meapMS1F9r","male","35 - 44","White","4 year degree"
"112","first","1C",3.87,"Reese King","politics",1,0,0,4,3,3,"R_2VQ23meapMS1F9r","male","35 - 44","White","4 year degree"
"113","first","1A",2.12,"Chris Miller","science",1,0,0,4,2,3,"R_1hQJnpBJHqYrzoN",NA,"18 - 24","White","4 year degree"
"114","first","1A",5.59,"Jodie Parker","book",0,1,0,4,3,5,"R_1hQJnpBJHqYrzoN",NA,"18 - 24","White","4 year degree"
"115","first","1A",4.73,"Kerry Baker","album",1,0,0,4,3,6,"R_1hQJnpBJHqYrzoN",NA,"18 - 24","White","4 year degree"
"116","first","1A",6.73,"Mary Cooper","sports",0,1,0,3,2,4,"R_1hQJnpBJHqYrzoN",NA,"18 - 24","White","4 year degree"
"117","first","1A",1.21,"Matthew Smith","animals",1,0,0,3,4,3,"R_1hQJnpBJHqYrzoN",NA,"18 - 24","White","4 year degree"
"118","first","1A",3.61,"Stevie White","politics",1,0,0,5,4,6,"R_1hQJnpBJHqYrzoN",NA,"18 - 24","White","4 year degree"
"119","first","1A",4.22,"Taylor Wright","meals",0,1,0,4,5,3,"R_1hQJnpBJHqYrzoN",NA,"18 - 24","White","4 year degree"
"120","first","3B",5.22,"Blair Hill","book",0,1,0,2,2,2,"R_1OTThUxWqZiqoeK","female","35 - 44","White","Some college"
"121","first","3B",1.24,"Brian King","animals",1,0,0,1,2,1,"R_1OTThUxWqZiqoeK","female","35 - 44","White","Some college"
"122","first","3B",5.86,"Elisha Moore","politics",0,1,0,2,1,1,"R_1OTThUxWqZiqoeK","female","35 - 44","White","Some college"
"123","first","3B",3.75,"Quinn Parker","sports",1,0,0,3,1,3,"R_1OTThUxWqZiqoeK","female","35 - 44","White","Some college"
"124","first","3B",6.78,"Rebecca Wright","meals",0,1,0,1,2,1,"R_1OTThUxWqZiqoeK","female","35 - 44","White","Some college"
"125","first","3B",4.34,"Riley Cook","science",0,1,0,3,3,2,"R_1OTThUxWqZiqoeK","female","35 - 44","White","Some college"
"126","first","3B",2.41,"Tommie Smith","album",1,0,0,3,3,3,"R_1OTThUxWqZiqoeK","female","35 - 44","White","Some college"
"127","first","3C",6.24,"Ashley Green","album",0,1,0,2,2,2,"R_1jm686Zk7M1WXmb","female","35 - 44","White","Professional degree"
"128","first","3C",2.61,"Emerson Baker","animals",0,1,0,2,2,2,"R_1jm686Zk7M1WXmb","female","35 - 44","White","Professional degree"
"129","first","3C",6.82,"Emily Brooks","politics",0,1,0,1,1,1,"R_1jm686Zk7M1WXmb","female","35 - 44","White","Professional degree"
"130","first","3C",5.34,"Jackie Walker","book",0,1,0,2,2,3,"R_1jm686Zk7M1WXmb","female","35 - 44","White","Professional degree"
"131","first","3C",1.28,"James White","sports",1,0,0,2,2,2,"R_1jm686Zk7M1WXmb","female","35 - 44","White","Professional degree"
"132","first","3C",4.39,"Jessie Turner","science",1,0,0,2,2,2,"R_1jm686Zk7M1WXmb","female","35 - 44","White","Professional degree"
"133","first","3C",3.87,"Reese Campbell","meals",1,0,0,2,2,2,"R_1jm686Zk7M1WXmb","female","35 - 44","White","Professional degree"
"134","first","2B",5.22,"Blair Young","animals",0,1,0,2,3,2,"R_eRGj4g8LiInsdtn","female","25 - 34","White","4 year degree"
"135","first","2B",1.24,"Brian Wright","science",1,0,0,4,2,1,"R_eRGj4g8LiInsdtn","female","25 - 34","White","4 year degree"
"136","first","2B",5.86,"Elisha Bell","book",0,1,0,4,4,4,"R_eRGj4g8LiInsdtn","female","25 - 34","White","4 year degree"
"137","first","2B",3.75,"Quinn Brooks","politics",1,0,0,2,3,2,"R_eRGj4g8LiInsdtn","female","25 - 34","White","4 year degree"
"138","first","2B",6.78,"Rebecca King","album",0,1,0,4,3,4,"R_eRGj4g8LiInsdtn","female","25 - 34","White","4 year degree"
"139","first","2B",4.34,"Riley Campbell","sports",1,0,0,4,3,4,"R_eRGj4g8LiInsdtn","female","25 - 34","White","4 year degree"
"140","first","2B",2.41,"Tommie Hill","meals",1,0,0,2,4,2,"R_eRGj4g8LiInsdtn","female","25 - 34","White","4 year degree"
"141","first","2A",2.12,"Chris Collins","meals",1,0,0,1,3,2,"R_2uClp2GQw2vyC0b",NA,"25 - 34","Asian","4 year degree"
"142","first","2A",5.59,"Jodie Ward","animals",0,1,0,2,1,2,"R_2uClp2GQw2vyC0b",NA,"25 - 34","Asian","4 year degree"
"143","first","2A",4.73,"Kerry Moore","book",1,0,0,1,2,2,"R_2uClp2GQw2vyC0b",NA,"25 - 34","Asian","4 year degree"
"144","first","2A",6.73,"Mary Brown","politics",0,1,0,1,2,1,"R_2uClp2GQw2vyC0b",NA,"25 - 34","Asian","4 year degree"
"145","first","2A",1.21,"Matthew Turner","album",1,0,0,1,1,2,"R_2uClp2GQw2vyC0b",NA,"25 - 34","Asian","4 year degree"
"146","first","2A",3.61,"Stevie Cooper","science",1,0,0,3,2,1,"R_2uClp2GQw2vyC0b",NA,"25 - 34","Asian","4 year degree"
"147","first","2A",4.22,"Taylor Smith","sports",0,1,0,3,1,3,"R_2uClp2GQw2vyC0b",NA,"25 - 34","Asian","4 year degree"
"148","first","2C",6.24,"Ashley Walker","science",1,0,0,3,2,2,"R_1GDGbcKkEvmACqN","female","25 - 34","White","4 year degree"
"149","first","2C",2.61,"Emerson Green","sports",1,0,0,1,1,1,"R_1GDGbcKkEvmACqN","female","25 - 34","White","4 year degree"
"150","first","2C",6.82,"Emily Baker","animals",0,1,0,1,2,2,"R_1GDGbcKkEvmACqN","female","25 - 34","White","4 year degree"
"151","first","2C",5.34,"Jackie White","meals",0,1,0,1,2,2,"R_1GDGbcKkEvmACqN","female","25 - 34","White","4 year degree"
"152","first","2C",1.28,"James Miller","politics",1,0,0,1,2,1,"R_1GDGbcKkEvmACqN","female","25 - 34","White","4 year degree"
"153","first","2C",4.39,"Jessie Cook","book",1,0,0,2,2,2,"R_1GDGbcKkEvmACqN","female","25 - 34","White","4 year degree"
"154","first","2C",3.87,"Reese Parker","album",0,1,0,4,1,1,"R_1GDGbcKkEvmACqN","female","25 - 34","White","4 year degree"
"155","first","1A",2.12,"Chris Miller","science",1,0,0,4,1,3,"R_2WHjYgIGKACmkgF",NA,"35 - 44","Black or African American","2 year degree"
"156","first","1A",5.59,"Jodie Parker","book",0,1,0,4,1,3,"R_2WHjYgIGKACmkgF",NA,"35 - 44","Black or African American","2 year degree"
"157","first","1A",4.73,"Kerry Baker","album",0,1,0,3,1,2,"R_2WHjYgIGKACmkgF",NA,"35 - 44","Black or African American","2 year degree"
"158","first","1A",6.73,"Mary Cooper","sports",0,1,0,3,1,1,"R_2WHjYgIGKACmkgF",NA,"35 - 44","Black or African American","2 year degree"
"159","first","1A",1.21,"Matthew Smith","animals",1,0,0,1,4,4,"R_2WHjYgIGKACmkgF",NA,"35 - 44","Black or African American","2 year degree"
"160","first","1A",3.61,"Stevie White","politics",1,0,0,4,1,1,"R_2WHjYgIGKACmkgF",NA,"35 - 44","Black or African American","2 year degree"
"161","first","1A",4.22,"Taylor Wright","meals",0,1,0,1,3,3,"R_2WHjYgIGKACmkgF",NA,"35 - 44","Black or African American","2 year degree"
"162","first","3C",6.24,"Ashley Green","album",0,1,0,2,2,2,"R_2ZZvqWf8emVPsDB","female","35 - 44","White","4 year degree"
"163","first","3C",2.61,"Emerson Baker","animals",1,0,0,1,2,2,"R_2ZZvqWf8emVPsDB","female","35 - 44","White","4 year degree"
