"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","He","She","Other","OtherType","Response","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"76","first",3,4.73,"Kerry","Kerry",NA,1,0,0,"","he took off the jacket and was soon cold again.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"77","first",3,5.22,"Blair","Blair",NA,1,0,0,"","he yelled copious profanities at the driver directly in front of him.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"78","first",3,5.34,"Jackie","Jackie",NA,0,1,0,"","she changed clothes.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"79","first",3,5.59,"Jodie","Jodie",NA,0,1,0,"","she relaxed.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"80","first",3,5.86,"Elisha","Elisha",NA,0,1,0,"","she drank all the lemonade.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"81","first",3,6.24,"Ashley","Ashley",NA,0,1,0,"","Ashley decided she liked the heat more.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"82","first",3,6.73,"Mary","Mary",NA,0,1,0,"","she sluggishly typed a response.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"83","first",3,6.78,"Rebecca","Rebecca",NA,0,1,0,"","she watched several videos on the topic.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"84","first",3,6.82,"Emily","Emily",NA,0,1,0,"","she tapped her foot impatiently.","R_2WNEfzv8Z3MAMVz","female","25 - 34","White","2 year degree"
"85","first",1,1.21,"Matthew","Matthew",NA,1,0,0,"","he sat down to read the newspaper.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"86","first",1,1.24,"Brian","Brian",NA,1,0,0,"","he laid in bed and checked his phone.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"87","first",1,1.28,"James","James",NA,1,0,0,"","he let out a sigh of relief  as all of his chores were finally complete.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"88","first",1,2.12,"Chris","Chris",NA,1,0,0,"","he couldn't help but sing along to his favorite song.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"89","first",1,2.41,"Tommie","Tommie",NA,1,0,0,"","he knew it was a good idea to backup his data.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"90","first",1,2.61,"Emerson","Emerson",NA,1,0,0,"","he threw his keys on the counter.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"91","first",1,3.61,"Stevie","Stevie",NA,1,0,0,"","his face filled with joy.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"92","first",1,3.75,"Quinn","Quinn",NA,1,0,0,"","he ran to the bathroom so he wouldn't miss anything.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
